metaFlye v2.7,thiopeptide,1
metaFlye v2.7,NRPS,11
metaFlye v2.7,NRPS-like,1
metaFlye v2.7,betalactone,3
metaFlye v2.7,hserlactone,2
metaFlye v2.7,phenazine,2
metaFlye v2.7,bacteriocin,3
metaFlye v2.7,TransAT-PKS-like,1
metaFlye v2.7,siderophore,3
metaFlye v2.7,terpene,4
metaFlye v2.7,sactipeptide,1
metaFlye v2.7,head_to_tail,0
metaFlye v2.7,lanthipeptide,1
metaFlye v2.7,CDPS,1
metaFlye v2.7,phosphonate,0
metaFlye v2.7,lassopeptide,2
metaFlye v2.7,arylpolyene,0
metaFlye v2.7,other,1
metaFlye v2.7,TransAT-PKS,1
metaFlye v2.7,PKS-like,1
metaFlye v2.7,T3PKS,4
metaFlye v2.7,LAP,1
metaFlye v2.7,NAGGN,1
Pomoxis,thiopeptide,2
Pomoxis,NRPS,11
Pomoxis,NRPS-like,1
Pomoxis,betalactone,2
Pomoxis,hserlactone,2
Pomoxis,phenazine,2
Pomoxis,bacteriocin,3
Pomoxis,TransAT-PKS-like,1
Pomoxis,siderophore,3
Pomoxis,terpene,4
Pomoxis,sactipeptide,1
Pomoxis,head_to_tail,1
Pomoxis,lanthipeptide,1
Pomoxis,CDPS,1
Pomoxis,phosphonate,0
Pomoxis,lassopeptide,3
Pomoxis,arylpolyene,0
Pomoxis,other,1
Pomoxis,TransAT-PKS,1
Pomoxis,PKS-like,0
Pomoxis,T3PKS,4
Pomoxis,LAP,0
Pomoxis,NAGGN,0
Reference,thiopeptide,3
Reference,NRPS,11
Reference,NRPS-like,5
Reference,betalactone,2
Reference,hserlactone,2
Reference,phenazine,2
Reference,bacteriocin,5
Reference,TransAT-PKS-like,1
Reference,siderophore,3
Reference,terpene,6
Reference,sactipeptide,1
Reference,head_to_tail,1
Reference,lanthipeptide,1
Reference,CDPS,1
Reference,phosphonate,1
Reference,lassopeptide,0
Reference,arylpolyene,0
Reference,other,1
Reference,TransAT-PKS,2
Reference,PKS-like,1
Reference,T3PKS,4
Reference,LAP,1
Reference,NAGGN,1
